Year,County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
2016,Autauga County,Alabama,1001,9.9,6.9,14.2
2016,Baldwin County,Alabama,1003,8.5,7.1,10.2
2016,Barbour County,Alabama,1005,15.7,10.5,22.3
2016,Bibb County,Alabama,1007,13.3,8.4,19.8
2016,Blount County,Alabama,1009,14.9,10.8,20
2016,Bullock County,Alabama,1011,22.4,11.8,37.7
2016,Butler County,Alabama,1013,16.9,11.4,23.5
2016,Calhoun County,Alabama,1015,15.6,13,18.3
2016,Chambers County,Alabama,1017,17.5,11.8,24.6
2016,Cherokee County,Alabama,1019,12.2,7.8,18
2016,Chilton County,Alabama,1021,16.8,11.4,23.5
2016,Choctaw County,Alabama,1023,13.9,9.9,19.1
2016,Clarke County,Alabama,1025,20.1,14.6,27.2
2016,Clay County,Alabama,1027,11.2,5.9,20.6
2016,Cleburne County,Alabama,1029,10.4,5.4,17.7
2016,Coffee County,Alabama,1031,14.4,10.8,18.3
2016,Colbert County,Alabama,1033,13.5,10.5,17.1
2016,Conecuh County,Alabama,1035,23.7,15.5,33.8
2016,Coosa County,Alabama,1037,17.9,9.9,29.9
2016,Covington County,Alabama,1039,12.9,9.3,17.1
2016,Crenshaw County,Alabama,1041,16.3,9.2,25.8
2016,Cullman County,Alabama,1043,17.2,12.7,22.2
2016,Dale County,Alabama,1045,14.4,11.1,18.6
2016,Dallas County,Alabama,1047,13.9,11.4,16.7
2016,Dekalb County,Alabama,1049,11.2,8.3,14.8
2016,Elmore County,Alabama,1051,14.9,10.7,19.8
2016,Escambia County,Alabama,1053,17.1,12,23.1
2016,Etowah County,Alabama,1055,13.5,10.8,16.2
2016,Fayette County,Alabama,1057,21,13.8,29.8
2016,Franklin County,Alabama,1059,13.3,9,19.5
2016,Geneva County,Alabama,1061,14.3,9.3,20.6
2016,Greene County,Alabama,1063,11.3,6.5,18.1
2016,Hale County,Alabama,1065,15.5,10.8,21.6
2016,Henry County,Alabama,1067,13.7,8.3,21.2
2016,Houston County,Alabama,1069,11.8,9.7,14.1
2016,Jackson County,Alabama,1071,13.9,9.2,19.5
2016,Jefferson County,Alabama,1073,11.7,10.4,13
2016,Lamar County,Alabama,1075,16,9.6,24.5
2016,Lauderdale County,Alabama,1077,11.9,9.4,14.9
2016,Lawrence County,Alabama,1079,16.9,10,27.6
2016,Lee County,Alabama,1081,9.5,7.2,11.9
2016,Limestone County,Alabama,1083,12.5,8.5,17.1
2016,Lowndes County,Alabama,1085,11.4,7.4,17.4
2016,Macon County,Alabama,1087,21.3,12.1,33.8
2016,Madison County,Alabama,1089,12.4,10.3,14.8
2016,Marengo County,Alabama,1091,14.9,11.4,19.2
2016,Marion County,Alabama,1093,18.1,12.8,24.9
2016,Marshall County,Alabama,1095,10.2,7.1,13.9
2016,Mobile County,Alabama,1097,12.6,11.3,14.1
2016,Monroe County,Alabama,1099,15.7,10.4,22.7
2016,Montgomery County,Alabama,1101,13,10.8,15.2
