Year,Location,FIPS,Life expectancy
1980,United States,,"73.75 (73.73, 73.77)"
1980,Alabama,1,"72.29 (72.21, 72.37)"
1980,"Autauga County, Alabama",1001,"71.99 (71.33, 72.63)"
1980,"Baldwin County, Alabama",1003,"74.07 (73.60, 74.58)"
1980,"Barbour County, Alabama",1005,"71.52 (70.79, 72.20)"
1980,"Bibb County, Alabama",1007,"71.61 (70.86, 72.36)"
1980,"Blount County, Alabama",1009,"74.01 (73.40, 74.64)"
1980,"Bullock County, Alabama",1011,"69.88 (69.00, 70.78)"
1980,"Butler County, Alabama",1013,"71.67 (70.97, 72.38)"
1980,"Calhoun County, Alabama",1015,"72.28 (71.83, 72.76)"
1980,"Chambers County, Alabama",1017,"72.17 (71.59, 72.79)"
1980,"Cherokee County, Alabama",1019,"72.34 (71.64, 73.06)"
1980,"Chilton County, Alabama",1021,"72.10 (71.49, 72.75)"
1980,"Choctaw County, Alabama",1023,"71.66 (70.88, 72.44)"
1980,"Clarke County, Alabama",1025,"71.27 (70.59, 72.01)"
1980,"Clay County, Alabama",1027,"72.62 (71.82, 73.41)"
1980,"Cleburne County, Alabama",1029,"72.29 (71.55, 73.07)"
1980,"Coffee County, Alabama",1031,"74.11 (73.51, 74.72)"
1980,"Colbert County, Alabama",1033,"73.46 (72.88, 74.05)"
1980,"Conecuh County, Alabama",1035,"71.73 (70.93, 72.54)"
1980,"Coosa County, Alabama",1037,"72.17 (71.32, 73.10)"
1980,"Covington County, Alabama",1039,"72.56 (71.91, 73.20)"
1980,"Crenshaw County, Alabama",1041,"71.89 (71.06, 72.71)"
1980,"Cullman County, Alabama",1043,"74.01 (73.46, 74.52)"
1980,"Dale County, Alabama",1045,"73.83 (73.24, 74.45)"
1980,"Dallas County, Alabama",1047,"70.77 (70.20, 71.38)"
1980,"DeKalb County, Alabama",1049,"73.55 (73.03, 74.09)"
1980,"Elmore County, Alabama",1051,"72.63 (72.07, 73.21)"
1980,"Escambia County, Alabama",1053,"71.71 (71.08, 72.34)"
1980,"Etowah County, Alabama",1055,"72.42 (71.95, 72.90)"
1980,"Fayette County, Alabama",1057,"73.29 (72.55, 74.05)"
1980,"Franklin County, Alabama",1059,"72.37 (71.72, 73.01)"
1980,"Geneva County, Alabama",1061,"72.71 (72.08, 73.43)"
1980,"Greene County, Alabama",1063,"70.18 (69.25, 71.07)"
1980,"Hale County, Alabama",1065,"71.01 (70.23, 71.79)"
1980,"Henry County, Alabama",1067,"71.60 (70.81, 72.42)"
1980,"Houston County, Alabama",1069,"73.00 (72.47, 73.51)"
1980,"Jackson County, Alabama",1071,"72.25 (71.68, 72.79)"
1980,"Jefferson County, Alabama",1073,"71.46 (71.20, 71.73)"
1980,"Lamar County, Alabama",1075,"72.65 (71.92, 73.45)"
1980,"Lauderdale County, Alabama",1077,"74.60 (74.12, 75.11)"
1980,"Lawrence County, Alabama",1079,"72.75 (72.06, 73.35)"
1980,"Lee County, Alabama",1081,"72.78 (72.24, 73.33)"
1980,"Limestone County, Alabama",1083,"73.12 (72.55, 73.66)"
1980,"Lowndes County, Alabama",1085,"70.62 (69.70, 71.49)"
1980,"Macon County, Alabama",1087,"70.61 (69.87, 71.36)"
1980,"Madison County, Alabama",1089,"73.28 (72.83, 73.70)"
