GeoFips,GeoName,year,income_per_capita
1000,Alabama,1990,15861
2000,Alaska,1990,23213
4000,Arizona,1990,17323
5000,Arkansas,1990,14622
6000,California,1990,21485
8000,Colorado,1990,19853
9000,Connecticut,1990,26394
10000,Delaware,1990,21457
11000,District of Columbia,1990,26132
12000,Florida,1990,19763
13000,Georgia,1990,17835
15000,Hawaii,1990,22433
16000,Idaho,1990,16152
17000,Illinois,1990,21025
18000,Indiana,1990,17768
19000,Iowa,1990,17628
20000,Kansas,1990,18438
21000,Kentucky,1990,15613
22000,Louisiana,1990,15369
23000,Maine,1990,17756
24000,Maryland,1990,23104
25000,Massachusetts,1990,23118
26000,Michigan,1990,19051
27000,Minnesota,1990,19935
28000,Mississippi,1990,13356
29000,Missouri,1990,17920
30000,Montana,1990,15469
31000,Nebraska,1990,18487
32000,Nevada,1990,20516
33000,New Hampshire,1990,20682
34000,New Jersey,1990,24754
35000,New Mexico,1990,15314
36000,New York,1990,23990
37000,North Carolina,1990,17485
38000,North Dakota,1990,16084
39000,Ohio,1990,18683
40000,Oklahoma,1990,16235
41000,Oregon,1990,18159
42000,Pennsylvania,1990,19566
44000,Rhode Island,1990,20316
45000,South Carolina,1990,16109
46000,South Dakota,1990,16475
47000,Tennessee,1990,16709
48000,Texas,1990,17455
49000,Utah,1990,15010
50000,Vermont,1990,18233
51000,Virginia,1990,20840
53000,Washington,1990,20222
54000,West Virginia,1990,14608
55000,Wisconsin,1990,18438
56000,Wyoming,1990,18147
1000,Alabama,1991,16572
2000,Alaska,1991,23510
4000,Arizona,1991,17731
5000,Arkansas,1991,15299
6000,California,1991,21857
8000,Colorado,1991,20549
9000,Connecticut,1991,26588
10000,Delaware,1991,22247
11000,District of Columbia,1991,27521
12000,Florida,1991,20073
13000,Georgia,1991,18322
15000,Hawaii,1991,23253
16000,Idaho,1991,16509
17000,Illinois,1991,21253
18000,Indiana,1991,18121
19000,Iowa,1991,17924
20000,Kansas,1991,18934
21000,Kentucky,1991,16345
22000,Louisiana,1991,16084
23000,Maine,1991,17986
24000,Maryland,1991,23605
25000,Massachusetts,1991,23486
26000,Michigan,1991,19298
27000,Minnesota,1991,20322
28000,Mississippi,1991,13964
