statename,Q1,Q2,Q3,Q4
Alabama,82.228058,84.474808,85.808136,87.224434
Alaska,82.348953,83.712013,85.585838,87.16877
Arizona,82.151314,84.147186,85.781685,87.435135
Arkansas,81.310768,84.12365,85.637344,87.601463
California,82.946465,83.530724,84.965134,86.939842
Colorado,82.387817,84.839043,86.47332,88.555649
Connecticut,82.566223,84.575111,86.28476,88.111473
Delaware,81.685738,84.005775,85.889015,87.717789
District Of Columbia,81.959274,84.548447,85.870918,88.300339
Florida,82.855927,84.430626,85.911194,87.599136
Georgia,82.42392,84.404076,85.815895,87.691956
Hawaii,80.952522,82.58419,83.288094,85.247765
Idaho,82.728096,85.561737,86.755013,88.444321
Illinois,81.895645,84.014206,85.353706,87.182175
Indiana,80.859085,83.822617,85.594391,87.287704
Iowa,81.931786,84.952461,86.698692,88.518387
Kansas,81.073135,84.169838,86.112022,87.809196
Kentucky,81.415802,83.882759,85.566315,87.305489
Louisiana,82.181557,84.361633,85.466042,87.063896
Maine,83.195969,85.295319,86.903381,88.55706
Maryland,81.922966,84.001785,85.602531,87.762115
Massachusetts,83.067032,84.634674,86.29142,88.034286
Michigan,81.038773,84.271576,86.200989,87.531517
Minnesota,82.600975,85.240112,87.063698,88.38105
Mississippi,82.392303,84.316147,85.634109,87.139206
Missouri,81.419334,84.327126,86.077103,87.700371
Montana,82.752808,85.482399,87.071159,88.357407
Nebraska,82.307762,85.08136,86.87606,88.083191
Nevada,80.163551,82.023972,83.674759,85.80407
New Hampshire,82.376953,84.854683,86.67926,87.883057
New Jersey,82.627937,83.898697,85.176941,87.299355
New Mexico,81.373055,83.916985,85.473625,87.49585
New York,83.1782,84.407036,85.823395,87.716705
North Carolina,82.456657,84.694748,86.183624,87.911659
North Dakota,83.019547,85.54937,86.928543,88.807518
Ohio,81.408623,84.260963,85.847382,87.629326
Oklahoma,80.449402,83.122971,85.340958,86.799461
Oregon,82.582405,84.572327,86.429436,87.840919
Pennsylvania,82.047722,84.763115,86.241364,87.887054
Rhode Island,82.91954,84.997963,86.856972,88.341507
South Carolina,82.539963,84.895332,86.112099,87.849625
South Dakota,82.288528,85.585861,87.123192,88.228722
Tennessee,81.743553,84.202835,85.898911,87.6856
Texas,81.293304,83.278015,85.017464,87.278793
Utah,82.772774,85.110184,86.664665,88.992882
Vermont,83.153343,85.71096,86.88311,88.990135
Virginia,82.352463,84.489105,85.82338,87.720718
Washington,82.354942,84.619667,85.999428,87.912392
West Virginia,81.633781,84.354355,85.820976,86.949127
Wisconsin,81.837036,85.037666,86.511253,87.98143
Wyoming,81.173805,84.603882,86.042519,87.39061
