statename,Q1,Q2,Q3,Q4
Alabama,75.376083,79.430519,82.262962,84.49781
Alaska,76.639389,80.524376,82.445099,85.575829
Arizona,77.007629,80.474632,82.700462,85.230026
Arkansas,75.763702,79.606911,82.115067,84.158447
California,78.731621,80.364868,82.369225,85.161736
Colorado,77.599342,81.448418,84.001686,86.636421
Connecticut,77.378212,80.646988,83.235397,86.014069
Delaware,75.667274,79.998352,82.788818,85.234688
District Of Columbia,76.546844,79.807358,82.686958,86.927116
Florida,77.187881,80.131927,82.421837,85.078964
Georgia,76.145348,79.735191,82.321808,85.02697
Hawaii,76.639137,79.47097,81.509171,84.158112
Idaho,78.33078,82.386284,84.525497,86.331566
Illinois,76.869431,79.931938,82.239197,84.688644
Indiana,74.685806,79.541412,82.397675,84.433746
Iowa,76.562851,81.048653,83.582184,85.333481
Kansas,75.776054,80.240288,82.958122,85.309105
Kentucky,75.540855,79.833542,82.7248,84.863808
Louisiana,76.071732,80.050972,82.25531,84.447334
Maine,77.704132,81.458176,84.1353,86.593155
Maryland,76.573456,79.836319,82.252235,85.336479
Massachusetts,77.940643,80.763428,83.240059,85.883278
Michigan,75.540764,80.326912,82.845474,84.952301
Minnesota,77.609596,81.779076,84.412361,86.303635
Mississippi,76.104668,79.76059,82.043663,84.229057
Missouri,75.851677,80.186684,82.762016,84.933807
Montana,78.444435,82.594788,85.000999,86.279648
Nebraska,76.960052,81.171562,83.605186,85.444427
Nevada,75.365318,78.58316,81.167137,83.464432
New Hampshire,76.963242,81.173515,83.2845,85.99926
New Jersey,77.397324,79.965576,82.101006,84.902931
New Mexico,76.079544,80.166969,83.001411,85.420036
New York,78.450394,80.693245,82.929352,85.595276
North Carolina,76.263687,80.183434,82.839821,85.387932
North Dakota,77.213173,82.125839,84.447289,86.369942
Ohio,75.575737,80.283234,82.919106,85.175949
Oklahoma,75.287354,79.529846,82.092224,84.460579
Oregon,77.875587,81.607162,84.004639,85.991562
Pennsylvania,76.066803,80.474983,83.130096,85.451378
Rhode Island,77.07402,80.818634,83.401062,85.663979
South Carolina,75.844643,80.143593,82.92289,85.141319
South Dakota,77.62394,82.52356,84.104645,86.217194
Tennessee,75.437653,79.905357,82.67984,84.902847
Texas,76.184792,79.193954,81.734268,84.794899
Utah,77.51487,81.612968,84.454727,86.912048
Vermont,78.202713,81.787857,84.61132,86.221611
Virginia,76.491219,80.138771,82.779305,85.861748
Washington,77.708878,81.176811,83.674728,85.910408
West Virginia,76.000977,80.62529,82.978424,84.611465
Wisconsin,76.523918,81.047096,83.650208,85.548561
Wyoming,76.028282,81.194771,83.23201,85.99736
